filename,split
normalsb259.png,train
normaleso133.png,train
normaleso99.png,train
normaleso229.png,train
vascular012.png,train
vascular009.png,train
normalcolon124.png,train
normaleso185.png,train
normalsb86.png,train
normalsb534.png,train
normaleso248.png,train
normalsb553.png,train
normaleso86.png,train
normalcolon148.png,train
normaleso145.png,train
normalsb210.png,train
inflammatory82.png,train
normalsb511.png,train
normalsb479.png,train
normalsb431.png,train
normalsb326.png,train
normalsb33.png,train
polypoid37.png,train
normalsb93.png,train
normalsb410.png,train
vascular055.png,train
normalsb578.png,train
normalcolon38.png,train
normalsb485.png,train
normalsb554.png,train
normalsb163.png,train
polypoid21.png,train
vascular102.png,train
normalsb503.png,train
normalsb244.png,train
normalsb463.png,train
normalsb312.png,train
vascular010.png,train
normaleso122.png,train
normalsb517.png,train
vascular150.png,train
inflammatory205.png,train
vascular015.png,train
normalsb551.png,train
normalsb470.png,train
normalsb722.png,train
normalsb502.png,train
normalsb665.png,train
normaleso136.png,train
normaleso156.png,train
normalsb632.png,train
normalsb6.png,train
normalsb125.png,train
normaleso106.png,train
normalsb198.png,train
normalsb697.png,train
normalcolon159.png,train
normalsb184.png,train
normalsb379.png,train
normalsb383.png,train
normaleso76.png,train
ampulla9.png,train
normalsb382.png,train
normalsb623.png,train
normalsb30.png,train
normaleso54.png,train
normalcolon66.png,train
normaleso154.png,train
normaleso25.png,train
normaleso233.png,train
normalsb386.png,train
inflammatory217.png,train
normaleso201.png,train
ampulla8.png,train
normalsb253.png,train
normalsb403.png,train
vascular053.png,train
normalsb610.png,train
normalsb563.png,train
normaleso141.png,train
normalsb651.png,train
normaleso37.png,train
normalsb152.png,train
normalsb370.png,train
normalsb579.png,train
normaleso116.png,train
normalsb15.png,train
normalsb39.png,train
vascular061.png,train
vascular140.png,train
normalsb499.png,train
normalsb453.png,train
normaleso57.png,train
normalsb246.png,train
normaleso128.png,train
inflammatory50.png,train
normalcolon37.png,train
vascular081.png,train
normalsb42.png,train
normalsb526.png,train
normalsb169.png,train
normalsb580.png,train
normalsb629.png,train
normalsb544.png,train
normalsb2.png,train
normaleso246.png,train
vascular302.png,train
normalsb377.png,train
normalsb146.png,train
normalsb242.png,train
normaleso72.png,train
inflammatory16.png,train
normalsb109.png,train
normaleso218.png,train
normalsb38.png,train
normaleso12.png,train
normaleso282.png,train
normalsb325.png,train
vascular173.png,train
normalsb218.png,train
normalsb217.png,train
normalcolon153.png,train
normalcolon101.png,train
normalsb180.png,train
normalsb562.png,train
normaleso35.png,train
normaleso176.png,train
normalsb662.png,train
inflammatory199.png,train
normalsb647.png,train
normalsb614.png,train
polypoid5~0.png,train
vascular002.png,train
normalsb288.png,train
vascular225.png,train
normalsb543.png,train
normalsb179.png,train
normaleso100.png,train
normalsb536.png,train
normalsb494.png,train
normalsb31.png,train
normaleso92.png,train
normaleso263.png,train
normalsb490.png,train
normaleso98.png,train
vascular088.png,train
normalsb121.png,train
normalsb484.png,train
normalcolon127.png,train
normalsb45.png,train
normalsb675.png,train
normalsb281.png,train
ampulla16.png,train
normalsb332.png,train
normaleso95.png,train
inflammatory216.png,train
normaleso33.png,train
normalsb480.png,train
inflammatory170.png,train
normaleso117.png,train
inflammatory72.png,train
normalsb626.png,train
normalsb46.png,train
ampulla5.png,train
normalsb223.png,train
vascular089.png,train
vascular103.png,train
normaleso227.png,train
normaleso226.png,train
vascular293.png,train
vascular051.png,train
normaleso69.png,train
normalsb644.png,train
normalsb1.png,train
normalcolon68.png,train
normalsb570.png,train
vascular181.png,train
vascular017.png,train
polypoid39.png,train
normalsb131.png,train
normalsb204.png,train
normalsb188.png,train
normalsb501.png,train
normalsb518.png,train
inflammatory133.png,train
normalsb713.png,train
normaleso179.png,train
normaleso139.png,train
normalsb162.png,train
inflammatory171.png,train
vascular219.png,train
vascular254.png,train
vascular154.png,train
normalsb656.png,train
normaleso257.png,train
inflammatory218.png,train
normalsb14.png,train
vascular207.png,train
normaleso275.png,train
normalsb545.png,train
inflammatory86.png,train
normalsb621.png,train
normaleso274.png,train
vascular196.png,train
normalsb43.png,train
normalcolon158.png,train
